epoch,train_loss,val_loss,val_accuracy,val_iou
1,0.48358784887939693,0.20339533745458252,0.9474103291829427,0.3564007643473964
2,0.16185968776543935,0.14911424152945219,0.9547944641113282,0.46652984909321765
3,0.11197516602774461,0.13079362205768885,0.9584229024251302,0.5019813732026874
4,0.08953588434805472,0.14555883917369342,0.9533868408203126,0.5018034828426732
5,0.07671761958238979,0.13287807687332756,0.9538506062825521,0.5342847943344258
6,0.06785487807666261,0.12880158610641956,0.959935302734375,0.5301269639885137
7,0.06374738935070733,0.11412270651444008,0.9628654479980469,0.552049325747954
8,0.05761304068999986,0.11644519512590609,0.9617301940917968,0.5584820379934802
9,0.05422589536135396,0.11176240022637342,0.9641750081380208,0.5652640022551931
10,0.05422840729976694,0.11485529426289232,0.9638287862141927,0.5865734757326105
11,0.0444473230248938,0.11237470903678944,0.9677924092610677,0.6043452307503354
12,0.0417457553356265,0.11219352248467897,0.9679130045572917,0.604556593974678
13,0.03744908309075981,0.10735155294012082,0.9683427937825521,0.6146077551826044
14,0.03533974854430805,0.11173100686190944,0.971426493326823,0.618206242942407
15,0.03270897153299302,0.12847582510623493,0.9693251037597657,0.6137565792124293
16,0.030504363337531686,0.10890839572407697,0.9719475809733072,0.6374741761227299
17,0.029584227413870394,0.10795313134593398,0.9726575215657552,0.6449820460651594
18,0.026089408230036498,0.12017746014814627,0.9717243448893229,0.6303671570369338
19,0.026400859099812806,0.11456747848148409,0.9724872334798177,0.6376347601517318
20,0.03282917627754311,0.1085703938611244,0.9724257405598958,0.640671445265229
21,0.026080614530170958,0.11295717219380956,0.9715349324544271,0.6366194954764671
22,0.02212902939490353,0.1091398331581762,0.9738761901855468,0.6493611703441518
23,0.01948094162546719,0.11541642635864646,0.9736939493815104,0.6523094078748221
24,0.02029158054618165,0.11203850928301874,0.9752831522623698,0.6696201488767374
25,0.018587287714860092,0.11991681352159694,0.9750256856282552,0.6657846879245635
26,0.015241783872091522,0.11851237684880432,0.9763406372070312,0.68027880928869
27,0.01357680981590723,0.1229669815174451,0.9763429260253906,0.6775178077478908
28,0.013226781195650497,0.12360223767494685,0.9765302530924479,0.6819156166146835
29,0.013141220444037269,0.12057737756128374,0.9765812683105469,0.6797768344256365
30,0.024257252735551446,0.10251158958693084,0.9755169677734375,0.6621879293229248
31,0.017788005063775928,0.11822975265156281,0.9745823669433594,0.6652323386943495
32,0.015470665634299318,0.11647627389940776,0.9750090535481771,0.6640612310413689
33,0.01450375877165546,0.12275038171853674,0.9754887390136718,0.6661387914937735
34,0.012958063427358866,0.12283789072381823,0.9761358133951823,0.6797650042956389
35,0.01276420419026787,0.125774897782034,0.9760630798339843,0.6754818310362928
36,0.01224520789226517,0.12412125230031579,0.9758522033691406,0.6749705869171402
37,0.010555415999454757,0.13098107753811697,0.9760731506347656,0.6774532946829711
38,0.009428024922187129,0.14216632119036818,0.9762215169270834,0.681734290578411
39,0.009657139264357587,0.12394932949131257,0.9770497131347656,0.689650730742562
40,0.01553563592567419,0.13650005992109837,0.9734849548339843,0.6357491202565734
41,0.015454382844424496,0.12300715075903818,0.9754884338378906,0.6818802293345702
42,0.01016793113667518,0.1306352979307504,0.9765650431315104,0.6882869118463231
43,0.008737186449191843,0.13443622483234657,0.9766601053873698,0.6907976791827908
44,0.008820925649876396,0.12860609211125656,0.9772356669108073,0.6899007041464541
45,0.008372148622681076,0.133696044035452,0.976351318359375,0.6857772005154364
46,0.008008825047484909,0.14677036926150322,0.9768076070149739,0.6908942218467625
47,0.00793404967834552,0.137114341150185,0.9771180216471355,0.695064000463364
48,0.007898912749563653,0.13978930533324418,0.9767561848958334,0.6920035453774762
49,0.007268099631958951,0.1388401955023016,0.9773197937011718,0.6941301433903713
50,0.006937012965014825,0.1430631119414772,0.9771064249674479,0.6931751849705626
